,Area,Classification
1142,ES_05204,0
1143,ES_05205,0
1144,ES_05206,0
1145,ES_05207,0
1146,ES_05208,0
1147,ES_05209,0
1148,ES_05210,0
1149,ES_05211,0
1150,ES_05212,0
1151,ES_05213,0
1152,ES_05214,0
1153,ES_05215,0
1154,ES_05216,0
1155,ES_05217,0
1156,ES_05218,0
1157,ES_05219,0
1158,ES_05220,0
1159,ES_05221,0
1160,ES_05222,0
1161,ES_05224,0
1162,ES_05225,0
1163,ES_05226,0
1164,ES_05227,0
1165,ES_05228,0
1166,ES_05229,0
1167,ES_05230,0
1168,ES_05231,0
1169,ES_05232,0
1170,ES_05233,0
1171,ES_05234,0
1172,ES_05235,0
1173,ES_05236,0
1174,ES_05237,0
1175,ES_05238,0
1176,ES_05239,0
1177,ES_05240,0
1178,ES_05241,2
1179,ES_05242,0
1180,ES_05243,0
1181,ES_05244,0
1182,ES_05245,0
1183,ES_05246,0
1184,ES_05247,0
1185,ES_05249,0
1186,ES_05251,0
1187,ES_05252,0
1188,ES_05253,0
1189,ES_05254,0
1190,ES_05256,0
1191,ES_05257,0
1192,ES_05258,0
1193,ES_05259,0
1194,ES_05260,0
1195,ES_05261,0
1196,ES_05262,0
1197,ES_05263,0
1198,ES_05264,0
1199,ES_05265,0
1200,ES_05266,0
1201,ES_05267,0
1202,ES_05901,0
1203,ES_05902,0
1204,ES_05903,0
1205,ES_05904,0
1206,ES_05905,0
1207,ES_06001,0
1208,ES_06002,0
1209,ES_06003,0
1210,ES_06004,0
1211,ES_06005,0
1212,ES_06006,0
1213,ES_06007,0
1214,ES_06008,0
1215,ES_06009,0
1216,ES_06010,0
1217,ES_06011,2
1218,ES_06012,0
1219,ES_06013,0
1220,ES_06014,2
1221,ES_06016,0
1222,ES_06017,0
1223,ES_06018,0
1224,ES_06019,0
1225,ES_06020,0
1226,ES_06021,0
1227,ES_06022,0
1228,ES_06023,0
1229,ES_06024,0
1230,ES_06025,0
1231,ES_06026,0
1232,ES_06027,0
1233,ES_06028,0
1234,ES_06029,0
1235,ES_06030,0
1236,ES_06031,0
1237,ES_06032,0
1238,ES_06033,0
1239,ES_06034,0
1240,ES_06035,0
1241,ES_06036,2
1242,ES_06037,0
1243,ES_06038,0
1244,ES_06039,0
